state	lambda_0	mu_0	theta	LP	LL	Pr
0	0.0894893979181925	0.04285974675315	-0.385034664702531	-29.2065886988487	-23.6851277809864	-5.52146091786225
1	0.0650510342325286	0.04285974675315	-0.385034664702531	-28.5840032590741	-23.0625423412119	-5.52146091786225
2	0.0650510342325286	0.0337279013167273	-0.385034664702531	-28.4959518691993	-22.974490951337	-5.52146091786225
3	0.0650510342325286	0.0337279013167273	-0.385034664702531	-28.4959518691993	-22.974490951337	-5.52146091786225
4	0.0650510342325286	0.0337279013167273	-0.385034664702531	-28.4959518691993	-22.974490951337	-5.52146091786225
5	0.0650510342325286	0.0337279013167273	-0.385034664702531	-28.4959518691993	-22.974490951337	-5.52146091786225
6	0.0650510342325286	0.0337279013167273	-0.385034664702531	-28.4959518691993	-22.974490951337	-5.52146091786225
7	0.0344081099875397	0.0337279013167273	-0.385034664702531	-28.9414371818048	-23.4199762639426	-5.52146091786225
8	0.0344081099875397	0.0470835144759319	-0.385034664702531	-29.5690415046746	-24.0475805868123	-5.52146091786225
9	0.0344081099875397	0.0470835144759319	-0.385034664702531	-29.5690415046746	-24.0475805868123	-5.52146091786225
10	0.0570880107504426	0.0470835144759319	-0.385034664702531	-28.6671632523011	-23.1457023344388	-5.52146091786225
11	0.0570880107504426	0.0470835144759319	-0.385034664702531	-28.6671632523011	-23.1457023344388	-5.52146091786225
12	0.0570880107504426	0.0470835144759319	-0.385034664702531	-28.6671632523011	-23.1457023344388	-5.52146091786225
13	0.0570880107504426	0.0470835144759319	-0.385034664702531	-28.6671632523011	-23.1457023344388	-5.52146091786225
14	0.0570880107504426	0.0203437798544878	-0.385034664702531	-28.2686666700003	-22.747205752138	-5.52146091786225
15	0.0570880107504426	0.0203437798544878	-0.385034664702531	-28.2686666700003	-22.747205752138	-5.52146091786225
16	0.0570880107504426	0.0203437798544878	-0.385034664702531	-28.2686666700003	-22.747205752138	-5.52146091786225
17	0.0570880107504426	0.0467440192486428	-0.385034664702531	-28.6587349335059	-23.1372740156437	-5.52146091786225
18	0.0570880107504426	0.0467440192486428	-0.653067113931755	-28.8598771562954	-23.3384162384331	-5.52146091786225
19	0.0564148946797651	0.0467440192486428	-0.653067113931755	-28.8746812629425	-23.3532203450803	-5.52146091786225
20	0.0564148946797651	0.0467440192486428	-0.653067113931755	-28.8746812629425	-23.3532203450803	-5.52146091786225
21	0.0564148946797651	0.0467440192486428	-0.653067113931755	-28.8746812629425	-23.3532203450803	-5.52146091786225
22	0.0797297409041613	0.0467440192486428	-0.653067113931755	-28.7817122699924	-23.2602513521302	-5.52146091786225
23	0.0797297409041613	0.0404079784055732	-0.653067113931755	-28.7222038659762	-23.200742948114	-5.52146091786225
24	0.0797297409041613	0.0404079784055732	-0.653067113931755	-28.7222038659762	-23.200742948114	-5.52146091786225
25	0.0797297409041613	0.0404079784055732	-0.653067113931755	-28.7222038659762	-23.200742948114	-5.52146091786225
26	0.0797297409041613	0.0425303031560933	-0.653067113931755	-28.7387092405977	-23.2172483227354	-5.52146091786225
27	0.0797297409041613	0.0425303031560933	-0.653067113931755	-28.7387092405977	-23.2172483227354	-5.52146091786225
28	0.0797297409041613	0.0425303031560933	-0.653067113931755	-28.7387092405977	-23.2172483227354	-5.52146091786225
29	0.0797297409041613	0.0409320830751982	-0.653067113931755	-28.725956424321	-23.2044955064588	-5.52146091786225
30	0.0797297409041613	0.0409320830751982	-0.653067113931755	-28.725956424321	-23.2044955064588	-5.52146091786225
31	0.0531328651259479	0.0409320830751982	-0.653067113931755	-28.7558116497905	-23.2343507319283	-5.52146091786225
32	0.0531328651259479	0.0123292940710612	-0.653067113931755	-28.1018360668816	-22.5803751490194	-5.52146091786225
33	0.0531328651259479	0.0123292940710612	-0.653067113931755	-28.1018360668816	-22.5803751490194	-5.52146091786225
34	0.0700168107312336	0.0123292940710612	-0.653067113931755	-28.4673667784312	-22.9459058605689	-5.52146091786225
35	0.0700168107312336	0.0418134518929552	-0.653067113931755	-28.6328470945433	-23.1113861766811	-5.52146091786225
36	0.0700168107312336	0.0418134518929552	-1.26533186543123	-29.0061496109227	-23.4846886930604	-5.52146091786225
37	0.0857403227086886	0.0418134518929552	-1.26533186543123	-28.8540975799409	-23.3326366620786	-5.52146091786225
38	0.0857403227086886	0.0245330269314401	-1.26533186543123	-28.5338274732947	-23.0123665554325	-5.52146091786225
39	0.0857403227086886	0.0245330269314401	-1.58623625758816	-28.5761806826395	-23.0547197647772	-5.52146091786225
40	0.0857403227086886	0.0245330269314401	-1.58623625758816	-28.5761806826395	-23.0547197647772	-5.52146091786225
41	0.0857403227086886	0.0130409572329647	-1.58623625758816	-28.3670700806853	-22.8456091628231	-5.52146091786225
42	0.0857403227086886	0.0130409572329647	-1.58623625758816	-28.3670700806853	-22.8456091628231	-5.52146091786225
43	0.0684165752761485	0.0130409572329647	-1.58623625758816	-28.3545974838888	-22.8331365660265	-5.52146091786225
44	0.0684165752761485	0.0113521602322873	-1.58623625758816	-28.3106285931062	-22.789167675244	-5.52146091786225
45	0.0684165752761485	0.0113521602322873	-1.58623625758816	-28.3106285931062	-22.789167675244	-5.52146091786225
46	0.0569514372380067	0.0113521602322873	-1.58623625758816	-28.4680565102194	-22.9465955923571	-5.52146091786225
47	0.0569514372380067	0.0113521602322873	-1.58623625758816	-28.4680565102194	-22.9465955923571	-5.52146091786225
48	0.0569514372380067	0.0113521602322873	-1.58623625758816	-28.4680565102194	-22.9465955923571	-5.52146091786225
49	0.0569514372380067	0.0113521602322873	-1.58623625758816	-28.4680565102194	-22.9465955923571	-5.52146091786225
50	0.0569514372380067	0.0113521602322873	-1.58623625758816	-28.4680565102194	-22.9465955923571	-5.52146091786225
51	0.0569514372380067	0.0113521602322873	-1.58623625758816	-28.4680565102194	-22.9465955923571	-5.52146091786225
52	0.0569514372380067	0.0113521602322873	-1.58623625758816	-28.4680565102194	-22.9465955923571	-5.52146091786225
