state	lambda_0	mu_0	theta	LP	LL	Pr
0	0.140992820224208	0.0256001285357819	-2.42100399907434	-28.9806365985746	-23.4591756807123	-5.52146091786225
1	0.140992820224208	0.0256001285357819	-2.42100399907434	-28.9806365985746	-23.4591756807123	-5.52146091786225
2	0.140992820224208	0.0233339067890787	-2.42100399907434	-28.9374175783397	-23.4159566604774	-5.52146091786225
3	0.140992820224208	0.0233339067890787	-2.42100399907434	-28.9374175783397	-23.4159566604774	-5.52146091786225
4	0.195879162935502	0.0233339067890787	-2.42100399907434	-29.6497298927591	-24.1282689748969	-5.52146091786225
5	0.195879162935502	0.0192882839400767	-2.42100399907434	-29.6703231575878	-24.1488622397256	-5.52146091786225
6	0.195879162935502	0.0192882839400767	-2.42100399907434	-29.6703231575878	-24.1488622397256	-5.52146091786225
7	0.198520542051197	0.0192882839400767	-2.42100399907434	-29.7231579549594	-24.2016970370972	-5.52146091786225
8	0.198520542051197	0.0204158918626771	-2.42100399907434	-29.7150634013455	-24.1936024834832	-5.52146091786225
9	0.198520542051197	0.0204158918626771	-2.42100399907434	-29.7150634013455	-24.1936024834832	-5.52146091786225
10	0.198520542051197	0.0204158918626771	-2.42100399907434	-29.7150634013455	-24.1936024834832	-5.52146091786225
11	0.198520542051197	0.028244980667559	-2.42100399907434	-29.6859309746739	-24.1644700568116	-5.52146091786225
12	0.198520542051197	0.028244980667559	-4.12592165051432	-30.1001887929453	-24.578727875083	-5.52146091786225
13	0.198520542051197	0.028244980667559	-4.12592165051432	-30.1001887929453	-24.578727875083	-5.52146091786225
14	0.198520542051197	0.020236067507789	-4.12592165051432	-29.7316467167984	-24.2101857989361	-5.52146091786225
15	0.198520542051197	0.020236067507789	-4.12592165051432	-29.7316467167984	-24.2101857989361	-5.52146091786225
16	0.250955529308793	0.020236067507789	-4.12592165051432	-29.6679356793556	-24.1464747614934	-5.52146091786225
17	0.250955529308793	0.0283145018664785	-4.12592165051432	-29.9554511819119	-24.4339902640496	-5.52146091786225
18	0.250955529308793	0.0283145018664785	-4.12592165051432	-29.9554511819119	-24.4339902640496	-5.52146091786225
19	0.184331584162666	0.0283145018664785	-4.12592165051432	-30.2015940882407	-24.6801331703785	-5.52146091786225
20	0.184331584162666	0.0273948241233587	-4.12592165051432	-30.1549140933108	-24.6334531754486	-5.52146091786225
21	0.184331584162666	0.0273948241233587	-4.12592165051432	-30.1549140933108	-24.6334531754486	-5.52146091786225
22	0.389159226428095	0.0273948241233587	-4.12592165051432	-30.5573404171211	-25.0358794992588	-5.52146091786225
23	0.389159226428095	0.0289545042863608	-4.12592165051432	-30.5786627831442	-25.0572018652819	-5.52146091786225
24	0.389159226428095	0.0289545042863608	-4.12592165051432	-30.5786627831442	-25.0572018652819	-5.52146091786225
25	0.217245488457587	0.0289545042863608	-4.12592165051432	-30.0441968609161	-24.5227359430538	-5.52146091786225
26	0.217245488457587	0.0303479758740071	-4.12592165051432	-30.1071415646752	-24.5856806468129	-5.52146091786225
27	0.217245488457587	0.0303479758740071	-4.12592165051432	-30.1071415646752	-24.5856806468129	-5.52146091786225
28	0.217245488457587	0.0303479758740071	-4.12592165051432	-30.1071415646752	-24.5856806468129	-5.52146091786225
29	0.217245488457587	0.0362695232136146	-4.12592165051432	-30.3857233440375	-24.8642624261752	-5.52146091786225
30	0.217245488457587	0.0362695232136146	-4.12592165051432	-30.3857233440375	-24.8642624261752	-5.52146091786225
31	0.217245488457587	0.0362695232136146	-4.12592165051432	-30.3857233440375	-24.8642624261752	-5.52146091786225
32	0.217245488457587	0.0443536466474499	-4.12592165051432	-30.7932882803111	-25.2718273624488	-5.52146091786225
33	0.217245488457587	0.0443536466474499	-4.12592165051432	-30.7932882803111	-25.2718273624488	-5.52146091786225
34	0.217245488457587	0.0443536466474499	-4.12592165051432	-30.7932882803111	-25.2718273624488	-5.52146091786225
35	0.217245488457587	0.0356402141368589	-4.12592165051432	-30.3552867349809	-24.8338258171186	-5.52146091786225
36	0.217245488457587	0.0356402141368589	-1.7819577934222	-31.2100880585479	-25.6886271406856	-5.52146091786225
37	0.217245488457587	0.0356402141368589	-1.7819577934222	-31.2100880585479	-25.6886271406856	-5.52146091786225
38	0.217245488457587	0.040944207540639	-1.7819577934222	-31.0688828144359	-25.5474218965736	-5.52146091786225
39	0.217245488457587	0.040944207540639	-1.46727368262684	-32.0593810392475	-26.5379201213853	-5.52146091786225
40	0.217245488457587	0.040944207540639	-1.46727368262684	-32.0593810392475	-26.5379201213853	-5.52146091786225
41	0.217245488457587	0.0460814221687762	-1.46727368262684	-31.8677839911741	-26.3463230733119	-5.52146091786225
42	0.217245488457587	0.0460814221687762	-1.46727368262684	-31.8677839911741	-26.3463230733119	-5.52146091786225
43	0.225266828711642	0.0460814221687762	-1.46727368262684	-32.1982733952572	-26.676812477395	-5.52146091786225
44	0.225266828711642	0.0394579139389748	-1.46727368262684	-32.46957800254	-26.9481170846777	-5.52146091786225
45	0.225266828711642	0.0394579139389748	-1.46727368262684	-32.46957800254	-26.9481170846777	-5.52146091786225
46	0.225266828711642	0.0394579139389748	-1.46727368262684	-32.46957800254	-26.9481170846777	-5.52146091786225
47	0.225266828711642	0.0370570090977739	-1.46727368262684	-32.5750672080518	-27.0536062901895	-5.52146091786225
48	0.225266828711642	0.0370570090977739	-1.46727368262684	-32.5750672080518	-27.0536062901895	-5.52146091786225
49	0.0745967811326068	0.0370570090977739	-1.46727368262684	-28.9466962649263	-23.4252353470641	-5.52146091786225
50	0.0745967811326068	0.0369528851744849	-1.46727368262684	-28.943012173318	-23.4215512554557	-5.52146091786225
51	0.0745967811326068	0.0369528851744849	-0.412713685669972	-28.7129617606596	-23.1915008427974	-5.52146091786225
52	0.0745967811326068	0.0369528851744849	-0.412713685669972	-28.7129617606596	-23.1915008427974	-5.52146091786225
53	0.0745967811326068	0.0323715594331699	-0.412713685669972	-28.7228013685328	-23.2013404506705	-5.52146091786225
54	0.0745967811326068	0.0323715594331699	-0.412713685669972	-28.7228013685328	-23.2013404506705	-5.52146091786225
55	0.0745967811326068	0.0323715594331699	-0.412713685669972	-28.7228013685328	-23.2013404506705	-5.52146091786225
56	0.0745967811326068	0.0285551414065565	-0.412713685669972	-28.7437489343671	-23.2222880165048	-5.52146091786225
57	0.0745967811326068	0.0285551414065565	-0.412713685669972	-28.7437489343671	-23.2222880165048	-5.52146091786225
58	0.0745967811326068	0.0285551414065565	-0.412713685669972	-28.7437489343671	-23.2222880165048	-5.52146091786225
59	0.0745967811326068	0.0327296710093235	-0.412713685669972	-28.7214314672758	-23.1999705494136	-5.52146091786225
60	0.0745967811326068	0.0327296710093235	-0.412713685669972	-28.7214314672758	-23.1999705494136	-5.52146091786225
61	0.0745967811326068	0.0327296710093235	-0.412713685669972	-28.7214314672758	-23.1999705494136	-5.52146091786225
62	0.0745967811326068	0.0244386604006844	-0.412713685669972	-28.7793773376412	-23.2579164197789	-5.52146091786225
63	0.0745967811326068	0.0244386604006844	-1.76666375768487	-28.7611978544483	-23.239736936586	-5.52146091786225
64	0.0745967811326068	0.0244386604006844	-1.76666375768487	-28.7611978544483	-23.239736936586	-5.52146091786225
65	0.0745967811326068	0.0175926847067179	-1.76666375768487	-28.5365313561255	-23.0150704382633	-5.52146091786225
66	0.0745967811326068	0.0175926847067179	-1.76666375768487	-28.5365313561255	-23.0150704382633	-5.52146091786225
67	0.0745967811326068	0.0175926847067179	-1.76666375768487	-28.5365313561255	-23.0150704382633	-5.52146091786225
68	0.0745967811326068	0.0120025525021522	-1.76666375768487	-28.3775337790283	-22.856072861166	-5.52146091786225
69	0.0745967811326068	0.0120025525021522	-2.05256874525574	-28.5613491321381	-23.0398882142759	-5.52146091786225
70	0.0745967811326068	0.0120025525021522	-2.05256874525574	-28.5613491321381	-23.0398882142759	-5.52146091786225
71	0.0745967811326068	0.00609253965164124	-2.05256874525574	-28.3719051516971	-22.8504442338348	-5.52146091786225
72	0.0745967811326068	0.00609253965164124	-1.26975818376948	-28.2191224456301	-22.6976615277678	-5.52146091786225
73	0.0377072735968807	0.00609253965164124	-1.26975818376948	-28.6221386761078	-23.1006777582456	-5.52146091786225
74	0.0377072735968807	0.004517300276194	-1.26975818376948	-28.5566578515487	-23.0351969336864	-5.52146091786225
75	0.0377072735968807	0.004517300276194	-1.26975818376948	-28.5566578515487	-23.0351969336864	-5.52146091786225
76	0.0377072735968807	0.004517300276194	-1.26975818376948	-28.5566578515487	-23.0351969336864	-5.52146091786225
77	0.0377072735968807	0.00131998909920218	-1.26975818376948	-28.4288935769701	-22.9074326591079	-5.52146091786225
78	0.0377072735968807	0.00131998909920218	-1.26975818376948	-28.4288935769701	-22.9074326591079	-5.52146091786225
79	0.0579473887618452	0.00131998909920218	-1.26975818376948	-28.0236210385595	-22.5021601206973	-5.52146091786225
80	0.0579473887618452	0.00131998909920218	-1.26975818376948	-28.0236210385595	-22.5021601206973	-5.52146091786225
81	0.0579473887618452	0.00131998909920218	-0.698104277443918	-28.1140284911593	-22.592567573297	-5.52146091786225
82	0.0513779912774351	0.00131998909920218	-0.698104277443918	-27.9759125880549	-22.4544516701926	-5.52146091786225
83	0.0513779912774351	0.00131998909920218	-0.698104277443918	-27.9759125880549	-22.4544516701926	-5.52146091786225
84	0.0513779912774351	0.00131998909920218	-0.698104277443918	-27.9759125880549	-22.4544516701926	-5.52146091786225
85	0.0513779912774351	0.00131998909920218	-0.698104277443918	-27.9759125880549	-22.4544516701926	-5.52146091786225
86	0.0513779912774351	0.0078385931654285	-0.698104277443918	-28.0351308802625	-22.5136699624003	-5.52146091786225
87	0.0513779912774351	0.0078385931654285	-0.698104277443918	-28.0351308802625	-22.5136699624003	-5.52146091786225
88	0.0513779912774351	0.0078385931654285	-0.698104277443918	-28.0351308802625	-22.5136699624003	-5.52146091786225
89	0.0513779912774351	0.00408341027101101	-0.698104277443918	-27.9967367339707	-22.4752758161085	-5.52146091786225
90	0.0513779912774351	0.00408341027101101	0.457300698554456	-29.2701819374308	-23.7487210195686	-5.52146091786225
91	0.0513779912774351	0.00408341027101101	0.457300698554456	-29.2701819374308	-23.7487210195686	-5.52146091786225
92	0.0513779912774351	0.00285593820469571	0.457300698554456	-29.3115669511689	-23.7901060333067	-5.52146091786225
93	0.0513779912774351	0.00285593820469571	0.457300698554456	-29.3115669511689	-23.7901060333067	-5.52146091786225
94	0.0513779912774351	0.00285593820469571	0.457300698554456	-29.3115669511689	-23.7901060333067	-5.52146091786225
95	0.0513779912774351	0.00786818200971629	0.457300698554456	-29.1495860363456	-23.6281251184833	-5.52146091786225
96	0.0513779912774351	0.00786818200971629	0.457300698554456	-29.1495860363456	-23.6281251184833	-5.52146091786225
97	0.0513779912774351	0.00786818200971629	0.457300698554456	-29.1495860363456	-23.6281251184833	-5.52146091786225
98	0.0513779912774351	0.00880129315926128	0.457300698554456	-29.1214960985658	-23.6000351807035	-5.52146091786225
99	0.0513779912774351	0.00880129315926128	0.437530866301085	-29.0798288473279	-23.5583679294656	-5.52146091786225
100	0.0513779912774351	0.00880129315926128	0.437530866301085	-29.0798288473279	-23.5583679294656	-5.52146091786225
101	0.0513779912774351	0.0166271182018476	0.437530866301085	-28.87645311314	-23.3549921952777	-5.52146091786225
102	0.0513779912774351	0.0166271182018476	-1.97986374455583	-29.3324516075026	-23.8109906896403	-5.52146091786225
103	0.140728286391245	0.0166271182018476	-1.97986374455583	-29.0541723888069	-23.5327114709446	-5.52146091786225
104	0.140728286391245	0.0221997479307345	-1.97986374455583	-29.0555490878816	-23.5340881700194	-5.52146091786225
105	0.140728286391245	0.0221997479307345	-1.46590673742586	-29.6690431426774	-24.1475822248152	-5.52146091786225
106	0.0394716805219601	0.0221997479307345	-1.46590673742586	-29.5509198236516	-24.0294589057893	-5.52146091786225
107	0.0394716805219601	0.0155244095509715	-1.46590673742586	-29.2034941017213	-23.682033183859	-5.52146091786225
108	0.0394716805219601	0.0155244095509715	-1.46590673742586	-29.2034941017213	-23.682033183859	-5.52146091786225
109	0.0394716805219601	0.0155244095509715	-1.46590673742586	-29.2034941017213	-23.682033183859	-5.52146091786225
110	0.0394716805219601	0.00811718580655696	-1.46590673742586	-28.8476148255841	-23.3261539077219	-5.52146091786225
111	0.0394716805219601	0.00811718580655696	-1.46590673742586	-28.8476148255841	-23.3261539077219	-5.52146091786225
112	0.0394716805219601	0.00811718580655696	-1.46590673742586	-28.8476148255841	-23.3261539077219	-5.52146091786225
113	0.0394716805219601	0.00461166826550008	-1.46590673742586	-28.6908812829797	-23.1694203651175	-5.52146091786225
114	0.0394716805219601	0.00461166826550008	-1.01575641340332	-28.2434700386271	-22.7220091207649	-5.52146091786225
115	0.0394716805219601	0.00461166826550008	-1.01575641340332	-28.2434700386271	-22.7220091207649	-5.52146091786225
116	0.0394716805219601	0.00461166826550008	-1.01575641340332	-28.2434700386271	-22.7220091207649	-5.52146091786225
117	0.0394716805219601	0.00461166826550008	-1.65728841877208	-28.9245622260066	-23.4031013081444	-5.52146091786225
118	0.0394716805219601	0.00461166826550008	-1.65728841877208	-28.9245622260066	-23.4031013081444	-5.52146091786225
119	0.0394716805219601	0.00151362633672422	-1.65728841877208	-28.7799550899055	-23.2584941720433	-5.52146091786225
120	0.0394716805219601	0.00151362633672422	-1.71207228389908	-28.8475862209249	-23.3261253030627	-5.52146091786225
121	0.0394716805219601	0.00151362633672422	-1.71207228389908	-28.8475862209249	-23.3261253030627	-5.52146091786225
122	0.0394716805219601	0.00151362633672422	-1.71207228389908	-28.8475862209249	-23.3261253030627	-5.52146091786225
123	0.0394716805219601	0.00151362633672422	-1.71207228389908	-28.8475862209249	-23.3261253030627	-5.52146091786225
124	0.0394716805219601	0.00151362633672422	-1.71207228389908	-28.8475862209249	-23.3261253030627	-5.52146091786225
125	0.0394716805219601	0.00151362633672422	-1.71207228389908	-28.8475862209249	-23.3261253030627	-5.52146091786225
126	0.0394716805219601	0.00151362633672422	-1.71207228389908	-28.8475862209249	-23.3261253030627	-5.52146091786225
127	0.0394716805219601	0.00151362633672422	-1.71207228389908	-28.8475862209249	-23.3261253030627	-5.52146091786225
128	0.0394716805219601	0.00612841777249018	-1.71207228389908	-29.0702482495768	-23.5487873317145	-5.52146091786225
129	0.0394716805219601	0.00612841777249018	0.691018105708357	-28.5837303551206	-23.0622694372584	-5.52146091786225
130	0.0394716805219601	0.00612841777249018	0.691018105708357	-28.5837303551206	-23.0622694372584	-5.52146091786225
131	0.0394716805219601	0.00296814033761012	0.691018105708357	-28.6574638783447	-23.1360029604825	-5.52146091786225
132	0.0394716805219601	0.00296814033761012	0.691018105708357	-28.6574638783447	-23.1360029604825	-5.52146091786225
133	0.0394716805219601	0.00296814033761012	0.691018105708357	-28.6574638783447	-23.1360029604825	-5.52146091786225
134	0.0394716805219601	0.00296814033761012	0.691018105708357	-28.6574638783447	-23.1360029604825	-5.52146091786225
135	0.0394716805219601	0.00296814033761012	0.73504131241273	-28.7344802294987	-23.2130193116365	-5.52146091786225
136	0.0394716805219601	0.00296814033761012	0.73504131241273	-28.7344802294987	-23.2130193116365	-5.52146091786225
137	0.0394716805219601	0.00444345452149494	0.73504131241273	-28.6966194423211	-23.1751585244588	-5.52146091786225
138	0.0394716805219601	0.00444345452149494	-0.710351931923644	-28.0329732431867	-22.5115123253244	-5.52146091786225
139	0.0289575214648951	0.00444345452149494	-0.710351931923644	-28.4562759505649	-22.9348150327027	-5.52146091786225
140	0.0289575214648951	0.00444345452149494	-0.710351931923644	-28.4562759505649	-22.9348150327027	-5.52146091786225
141	0.0289575214648951	0.00444345452149494	0.400391494448444	-27.8432741982377	-22.3218132803754	-5.52146091786225
142	0.0289575214648951	0.00444345452149494	0.400391494448444	-27.8432741982377	-22.3218132803754	-5.52146091786225
