Age (Ma),CO2 (ppm)
2.1,300
2.1,278
2.2,338
2.3,387
2.3,342
2.3,405
2.6,400
2.6,385
221.9,6
220.1,215
214.7,355
213.5,443
213.3,500
213.2,546
213.1,501
213,523
212.7,170
212.6,738
212.5,1463
212.4,522
212.2,713
212.1,708
212,10
211.7,683
211.5,643
211.4,749
211.3,128
211.2,182
211.2,616
211.1,726
210.9,-127
210.7,-194
210.4,219
210.1,420
209.9,1080
209.9,777
209.7,665
209.6,529
209.5,1220
209.3,1025
209.2,1406
209,1063
208.6,1869
208.4,904
208.2,1179
208,964
207.4,1978
205.15,1626.42
205.15,1233.54666666667
205.15,1293.69333333333
211.9,749
211.9,786
34.2,399
32.98,550
33.17,710
33.33,890
33.47,930
33.59,690
33.96,870
34.21,960
34.42,940
34.63,810
0,266
0.46,293
0.9,278
1.5,279
2.11,274
2.59,258
2.79,283
2.89,399
2.99,402
3.05,428
3.17,336
3.5,366
1.98,219
2.03,262
2.08,246
2.16,221
2.17,383
2.2,386
2.3,238
2.5,367
2.56,310
2.6,203
2.69,194
2.7,358
2.71,314
2.71,238
2.71,334
2.75,300
2.77,404
2.78,418
2.78,316
2.8,314
2.92,241
3,354
3.07,265
3.08,411
3.1,249
3.16,233
3.22,242
3.24,330
3.26,252
3.32,274
3.4,255
3.41,251
3.47,292
3.54,329
3.59,282
3.72,310
3.79,288
3.87,408
3.96,295
4.04,334
4.12,394
4.58,425
12.28,190
12.72,223
13.25,244
13.48,243
13.72,240
13.83,257
14.17,268
14.31,272
14.8,374
15.04,332
15.56,298
15.87,392
16.38,225
11.8,247
13.6,232
14.94,346
13.7,250
13.74,255
13.74,230
13.77,301
13.79,283
13.8,311
15.54,300
15.6,442
15.61,469
15.63,330
15.65,294
15.69,287
15.72,505
15.76,291
15.77,315
15.81,520
15.84,435
15.89,281
15.95,291
15.96,318
15.98,595
15.99,322
16.06,293
16.12,406
16.15,309
16.18,271
16.21,236
16.24,477
16.27,278
16.3,467
16.33,262
16.37,502
16.4,430
16.42,221
16.47,532
16.59,271
16.65,242
16.69,236
16.76,338
16.98,207
17.11,252
2.34,317
2.35,318
2.35,306
2.36,450
2.37,415
2.38,371
2.39,377
2.41,278
2.42,332
2.45,320
2.47,340
2.5,357
2.5,362
2.52,246
2.55,335
2.56,300
2.58,330
2.59,362
2.62,279
2.62,305
2.63,245
2.65,282
2.66,302
2.67,263
2.68,323
2.69,284
2.7,276
2.7,234
2.7,319
2.71,262
2.75,339
2.75,321
2.76,358
2.78,279
2.8,281
2.83,317
2.83,361
2.84,388
2.85,308
2.86,445
2.91,371
2.92,377
2.94,337
2.95,358
2.95,419
2.96,346
2.98,328
3,369
3.01,357
3.03,381
3.04,419
3.05,418
3.06,361
3.06,413
3.07,380
3.09,334
3.1,319
3.11,392
3.13,345
3.14,334
3.15,403
3.16,340
3.17,452
3.18,381
3.19,283
3.2,331
3.21,326
3.22,376
3.24,423
3.24,354
3.25,316
3.26,348
3.27,365
3.28,313
2.35,369
2.42,442
2.5,423
2.63,402
2.75,376
2.83,352
3.16,525
3.24,441
0.54,162
0.54,281
0.6,163
0.62,169
0.76,175
0.82,152
0.86,168
0.94,183
1.82,250
2.74,274
2.89,481
3.21,423
3.66,357
3.89,507
4.1,380
5.19,433
6.35,332
53.2,1400
45.6,1100
44.4,920
36.9,770
40.3,650
51.9,1868
58.8,583
70,670
100.8,797
104.1,830
104.1,977
104.1,1001
111.9,654
121.9,1051
139.3,982
161.7,698
169.5,637
187.7,919
205.6,388
2.1,358
5.1,358
7.2,270
8.5,350
10.5,370
2.8,276
3.4,330
4,363
4.6,270
168.8,879
200.3,864
205.4,758
205.4,835
44.5,768
168.8,639
285.6,354
316.6,261
400.5,2282
200.7,716
201.3,1535
201.6,702
135.1,1448
172.2,1894
187.7,735
44.5,965
15.2,339
15.3,341
15.3,313
16.5,535
54.2,443
54.3,327
54.7,378
55.6,479
55.9,667
56.1,307
56.1,307
56.1,307
56.1,520
56.2,304
56.4,313
56.5,316
56.6,320
56.7,315
56.7,318
56.7,318
57.2,469
58.1,447
59.9,535
59.9,574
270.6,343
270.6,266
270.6,290
270.6,326
270.6,342
313.5,348
313.5,351
313.5,336
313.5,308
313.5,350
313.5,366
313.5,368
313.5,358
313.5,303
313.5,367
313.5,350
313.5,401
313.5,287
313.5,311
313.5,284
313.5,325
324,385
324,392
324,359
168.4,816
63.8,367
64.1,330
65.4,343
65.4,470
66.5,539
54.3,515
61.1,317
49.9,659
409.2,2836
182.5,1050
182.6,1550
182.7,550
182.8,950
182.9,950
183,600
104.1,710
110.4,710
116.5,700
123,695
124.7,630
127.9,630
130.2,550
131.4,620
133,650
139.5,1442
139.5,1228
139.5,1151
168,1031
168,926
172.2,896
186.8,942
25.6,588
22.1,333
20,332
19,397
19,459
17.6,374
17.6,341
17.6,388
17,393
16.8,425
16.5,393
15.8,564
15.7,555
15.7,552
15.7,449
13.9,287
13.9,293
11.6,332
72.5,559
73.1,568
73.7,572
74.7,589
75.4,593
75.9,695
78.1,568
79.9,582
81.5,585
121,867
121,837
121,784
121,573
121,1060
121,1060
121,867
121,593
121,908
121,782
121,734
121,769
101.8,974
101.8,852
101.8,917
101.8,954
3.9,355
12,468
34.5,672
35.5,746
46.4,908
118,893
124.7,1008
127.9,592
142,813
142,736
143.5,972
148,736
153.4,939
203.2,908
230.5,813
233.8,789
233.8,825
168.8,1422
168.8,1373
168.8,1296
168.8,1188
168.8,1134
94.5,366
94.4,381
94.3,384
94.3,410
94.2,444
94.1,457
94.1,360
94.1,446
94.1,396
94.1,448
94.1,508
94,485
94,425
94,466
94,370
93.9,431
93.9,436
50.6,600
50.6,600
50.6,600
203.7,2200
38.4,634
201.1,1320
201.1,1140
201.1,2792
201.3,2152
201.6,1445
201.6,1092
201.6,1195
201.6,1236
201.6,1113
201.1,1469
201.3,1604
201.6,1761
201.6,1600
201.6,1459
201.6,881
201.6,1206
201.6,1122
3.1,357
8.5,360
47.4,943
85,660
85,531
85,565
35.9,450
30.8,671
27,395
25,453
24,434
17.4,402
33,383
409.2,1548
317.5,332
311.1,340
316.5,388
277.2,498
219.2,889
226.5,615
131.6,513
106.8,828
106.8,662
106.8,734
48,636
40.9,356
24.9,389
12.8,434
42.9,424
186.8,809
13.8,334
9.5,351
2.9,280
2.7,279
2.6,285
1.9,280
1,278
97.2,1028
117,796
121,824
121,839
112.6,856
112.6,846
23.5,476
26.5,429
33.5,409
34.5,410
36,365
204.9,1472
171.2,990
171.2,954
60,322
65.5,418
65.9,429
67,649
23,516
23,425
28.5,390
0.2,289
0.3,246
0.5,255
0.9,243
1,252
1.2,266
1.3,271
1.5,277
1.8,270
2.1,254
2.3,273
2.6,267
2.8,299
2.8,303
2.9,323
2.9,333
3,372
3.1,353
3.1,344
3.2,335
3.2,341
3.6,362
3.8,357
3.9,338
4,329
4.1,354
4.3,381
4.4,351
4.6,370
4.8,351
4.9,383
4.9,422
5,448
5.2,457
0.02,318
0.03,305
0.03,322
0.04,308
0.06,312
0.07,338
0.09,334
0.11,332
0.11,336
0.13,336
0.15,315
0.16,316
0.17,330
0.31,319
0.43,285
0.58,302
0.93,291
1.05,301
1.19,322
1.21,311
1.22,317
1.23,322
1.25,291
1.27,309
1.28,298
1.35,326
1.64,298
1.73,312
1.97,309
2.09,329
2.19,331
2.3,337
2.4,344
2.59,333
2.6,305
2.72,317
2.94,307
3.08,338
3.13,318
3.32,336
3.36,321
3.46,339
3.51,393
3.52,346
3.67,346
3.85,327
3.99,334
4.11,348
4.45,379
4.78,361
7.15,379
14.1,341
14.74,430
15.84,402
16.82,401
18.26,412
20.3,358
22.94,462
23.48,410
25.3,416
26.57,656
27.85,712
28.78,730
29.21,854
29.57,972
29.64,895
30.62,765
31.27,725
32.04,743
32.58,756
32.83,740
32.91,723
32.97,727
33.45,767
33.57,671
33.69,930
34.69,1038
35.29,879
35.56,919
35.86,947
36.09,1132
36.48,2622
36.81,1247
37.1,939
37.43,1042
38.55,798
38.25,898
38.62,863
12.81,283
13.6,271
13.64,303
13.65,306
13.66,305
13.67,308
13.67,289
13.68,261
13.69,294
13.7,271
13.71,301
13.72,292
13.74,305
13.75,305
13.76,292
13.77,340
13.77,313
13.78,313
13.79,294
13.79,315
13.8,329
2.81,282
2.85,294
2.86,288
2.9,270
2.92,278
2.93,270
2.94,307
2.98,258
3,255
3.02,265
3.03,262
3.07,284
3.09,254
3.1,275
3.11,271
3.13,272
3.16,278
3.18,259
3.19,274
3.2,272
3.21,267
3.22,265
3.24,273
3.26,270
3.27,262
3.28,258
3.29,276
120.3,972
120.3,975
120.1,896
120.1,915
120.1,1437
120.1,1596
119.9,1255
119.9,1942
119.9,2187
119.9,1845
119.6,2058
119.6,2005
119.6,2005
119.6,1746
119.6,1634
119.1,1379
118.9,1904
118.9,762
120.1,1117
120.1,1099
119.9,1322
119.9,1894
119.1,1227
